student_id,cohort_year,program,semester,attendance_rate,assignment_score,quiz_average,midterm_score,final_exam_score,lms_logins,study_hours_per_week,internet_access,part_time_work_hours,commute_minutes,ai_tool_usage_frequency,previous_gpa,final_grade,passed,submission_delay_days,missing_reason_flag
S100050,2021,Public Health,3,63.63,82.16,70.18,84.64,88.94,43,11.42,stable,6.6,10.71,often,3.74,83.53,1,1.0,none
S100051,2021,Education,8,99.11,77.09,84.64,97.83,100.0,41,5.44,stable,10.01,26.6,very_often,3.25,95.63,1,1.0,none
S100052,2023,Economics,4,80.07,70.76,72.26,100.0,98.32,84,16.01,stable,10.85,20.63,often,2.16,80.24,1,5.0,system_issue
S100053,2023,Computer Science,6,95.86,84.51,99.49,100.0,100.0,56,11.35,stable,0.0,26.0,very_often,3.3,95.85,1,0.0,none
S100054,2023,Psychology,6,85.86,95.73,88.62,100.0,89.08,59,22.49,limited,8.38,33.71,sometimes,2.66,84.59,1,1.0,none
S100055,2023,Economics,6,90.64,76.47,68.87,100.0,100.0,42,5.47,stable,15.57,16.72,rarely,3.31,89.46,1,5.0,none
S100056,2022,Public Health,5,75.79,88.31,69.9,96.35,91.66,64,18.57,stable,7.35,63.32,sometimes,2.69,81.47,1,2.0,none
S100057,2023,Economics,4,86.43,90.94,65.13,98.72,87.83,52,17.59,stable,8.43,43.88,sometimes,2.98,84.34,1,3.0,none
S100058,2021,Education,6,93.57,88.39,59.8,100.0,100.0,41,9.26,stable,11.14,67.3,often,2.76,92.69,1,0.0,none
S100059,2021,Education,8,83.0,76.63,74.45,100.0,100.0,51,9.49,stable,9.12,32.12,never,3.0,81.8,1,3.0,none
S100060,2023,Public Health,4,99.94,75.31,67.41,100.0,100.0,51,7.63,stable,2.79,25.12,rarely,2.74,82.41,1,3.0,none
S100061,2022,Psychology,5,65.13,74.01,77.78,100.0,98.69,43,7.13,stable,9.75,66.65,often,2.9,83.91,1,1.0,self_report_missing
S100062,2023,Economics,2,63.23,73.85,72.16,99.69,96.33,41,10.64,stable,16.96,24.59,rarely,2.47,77.95,1,0.0,none
S100063,2023,Education,3,93.38,90.3,77.82,100.0,100.0,51,11.88,stable,2.64,31.79,never,3.22,92.23,1,1.0,none
S100064,2023,Economics,7,70.29,67.26,65.52,96.1,92.5,41,4.2,unstable,7.38,47.96,rarely,3.08,80.02,1,2.0,none
S100065,2023,Public Health,6,99.04,99.29,89.44,100.0,100.0,58,22.29,stable,0.33,12.72,often,2.27,94.9,1,0.0,none
S100066,2023,Economics,2,97.56,79.68,93.6,100.0,100.0,56,9.51,stable,16.59,47.8,rarely,3.45,93.25,1,3.0,none
S100067,2022,Public Health,5,97.0,81.99,71.71,100.0,100.0,80,11.55,stable,9.35,45.5,rarely,2.92,88.23,1,3.0,none
S100068,2021,Psychology,7,90.37,90.2,68.69,100.0,93.1,67,8.86,stable,4.05,57.85,rarely,3.07,89.47,1,1.0,none
S100069,2022,Economics,1,74.22,73.09,71.88,100.0,93.69,73,9.95,stable,10.65,51.02,often,3.34,85.21,1,3.0,none
S100070,2022,Public Health,1,65.36,83.67,72.94,85.46,86.14,45,10.26,stable,1.57,58.4,rarely,3.15,81.53,1,2.0,none
S100071,2022,Economics,4,100.0,83.28,80.48,100.0,100.0,74,11.77,stable,2.77,33.01,never,3.52,93.68,1,2.0,none
S100072,2024,Psychology,6,66.9,66.69,72.15,92.02,80.94,55,11.93,stable,0.0,19.47,very_often,2.87,76.29,1,3.0,none
S100073,2022,Public Health,3,99.1,84.87,98.82,100.0,100.0,70,15.42,stable,2.53,72.98,often,3.47,100.0,1,3.0,none
S100074,2021,Psychology,7,86.71,84.63,66.35,94.56,100.0,59,11.46,unstable,19.5,7.52,rarely,3.06,87.5,1,2.0,none
S100075,2022,Economics,7,83.72,91.3,75.21,100.0,100.0,53,14.78,stable,4.87,9.32,rarely,3.23,91.53,1,3.0,none
S100076,2022,Public Health,5,87.13,94.59,67.33,100.0,100.0,61,10.89,stable,13.26,45.17,rarely,3.18,90.81,1,0.0,none
S100077,2023,Education,4,88.83,94.79,75.61,100.0,100.0,61,12.71,stable,4.15,64.25,often,3.56,93.39,1,4.0,none
S100078,2023,Psychology,1,81.82,90.34,73.93,100.0,100.0,32,9.69,stable,15.32,38.41,rarely,3.32,88.72,1,0.0,none
S100079,2023,Education,7,90.85,85.77,72.72,100.0,91.89,57,16.29,limited,2.82,52.99,very_often,2.8,86.64,1,0.0,none
S100080,2023,Psychology,8,95.68,82.33,80.35,99.75,96.15,66,12.63,stable,10.27,0.0,often,2.71,90.81,1,0.0,none
S100081,2022,Education,4,83.84,87.33,75.26,89.88,88.05,56,10.46,stable,10.37,26.01,sometimes,2.98,82.42,1,1.0,none
S100082,2024,Computer Science,5,75.39,84.66,70.5,94.79,100.0,56,9.05,stable,26.29,1.27,never,2.66,83.91,1,1.0,none
S100083,2021,Education,7,91.67,74.89,70.75,96.17,100.0,45,10.36,stable,14.41,49.05,often,2.53,84.0,1,1.0,none
S100084,2021,Computer Science,6,53.73,73.38,56.79,91.15,87.22,54,11.67,unstable,5.85,7.15,often,2.04,74.0,1,3.0,none
S100085,2021,Psychology,2,83.26,66.83,66.23,99.53,93.3,52,10.56,stable,14.8,12.0,often,2.3,80.72,1,0.0,none
S100086,2023,Psychology,6,90.91,89.78,80.42,100.0,,49,7.49,limited,24.97,44.25,never,3.89,99.18,1,2.0,none
S100087,2022,Psychology,8,71.19,80.53,73.65,94.21,86.93,49,15.44,stable,0.0,54.11,often,2.7,83.04,1,2.0,none
S100088,2021,Computer Science,7,93.54,95.36,73.15,100.0,100.0,68,15.4,unstable,4.1,32.14,often,3.86,95.63,1,2.0,none
S100089,2023,Economics,4,82.44,95.02,81.88,100.0,100.0,64,19.36,stable,8.34,45.26,very_often,3.18,97.52,1,0.0,none
S100090,2021,Psychology,5,76.05,72.18,64.91,98.07,100.0,53,8.72,stable,7.08,44.68,sometimes,2.98,83.23,1,2.0,none
S100091,2023,Public Health,3,84.28,85.7,68.7,100.0,,79,14.39,limited,7.67,31.12,sometimes,2.32,84.88,1,0.0,none
S100092,2022,Economics,6,72.02,69.62,56.36,90.93,89.54,50,3.34,stable,0.87,15.3,sometimes,3.0,72.68,1,3.0,none
S100093,2022,Education,2,95.42,100.0,84.0,100.0,100.0,70,14.14,stable,19.83,45.17,often,3.85,99.35,1,1.0,none
S100094,2022,Public Health,3,62.46,85.23,73.01,83.65,90.58,49,5.44,unstable,0.04,46.04,very_often,3.7,78.0,1,2.0,none
S100095,2023,Psychology,3,84.97,80.91,77.12,91.46,100.0,46,6.88,stable,8.6,51.09,sometimes,3.12,87.14,1,1.0,none
S100096,2022,Education,3,79.14,73.03,61.36,100.0,95.77,42,12.11,stable,17.32,40.62,rarely,2.48,78.11,1,2.0,none
S100097,2021,Economics,3,74.94,66.57,70.11,100.0,92.86,53,8.42,stable,9.79,13.97,never,2.57,77.83,1,2.0,none
S100098,2021,Education,1,79.62,82.78,76.96,100.0,95.89,21,8.34,limited,3.14,47.43,sometimes,2.62,81.42,1,4.0,none
S100099,2024,Psychology,6,81.2,95.31,74.39,100.0,100.0,55,9.77,limited,0.56,34.98,often,3.58,95.96,1,1.0,none
S100100,2024,Computer Science,4,97.36,99.93,86.39,100.0,100.0,61,14.61,stable,8.39,26.31,never,3.73,100.0,1,3.0,none
S100101,2023,Education,8,88.39,80.58,60.46,97.77,100.0,48,7.43,stable,4.7,29.7,sometimes,3.09,91.59,1,2.0,none
S100102,2022,Computer Science,2,86.27,88.88,67.93,100.0,100.0,52,10.84,stable,11.44,22.58,very_often,2.86,93.61,1,0.0,none
S100103,2024,Public Health,6,88.48,97.28,83.15,100.0,100.0,39,10.28,stable,0.19,51.0,sometimes,3.7,98.25,1,1.0,none
S100104,2023,Economics,2,72.24,75.47,76.05,97.33,81.58,70,14.43,limited,15.69,9.47,rarely,2.56,81.58,1,2.0,none
S100105,2023,Computer Science,5,79.91,83.39,71.44,96.17,100.0,53,14.95,stable,10.81,17.12,sometimes,3.02,87.72,1,4.0,none
S100106,2022,Computer Science,4,86.02,70.03,91.58,100.0,100.0,35,2.83,stable,11.33,29.08,sometimes,3.21,89.13,1,1.0,none
S100107,2022,Public Health,4,76.77,80.82,73.67,100.0,100.0,62,15.1,stable,20.09,64.05,rarely,2.61,84.08,1,2.0,self_report_missing
S100108,2021,Psychology,6,90.65,89.72,64.34,100.0,100.0,53,8.7,stable,6.94,53.98,often,2.71,90.12,1,1.0,none
S100109,2024,Education,7,78.78,87.7,80.41,100.0,91.16,50,12.67,limited,4.92,5.46,sometimes,2.68,98.66,1,1.0,self_report_missing
S100110,2022,Economics,3,88.61,86.53,70.55,100.0,100.0,45,7.28,stable,6.17,59.32,sometimes,3.64,96.38,1,1.0,none
S100111,2022,Economics,7,72.17,74.22,81.33,100.0,100.0,54,12.98,stable,8.65,59.29,sometimes,3.86,91.0,1,0.0,none
S100112,2022,Education,2,89.16,93.05,76.02,100.0,100.0,79,22.73,limited,9.36,13.87,never,3.05,93.91,1,2.0,none
S100113,2023,Economics,3,73.46,81.48,61.69,92.03,92.17,59,12.24,unstable,4.19,0.0,rarely,2.88,81.76,1,1.0,none
S100114,2021,Education,3,70.05,72.48,74.56,92.73,100.0,51,9.93,stable,0.0,33.7,rarely,2.73,80.9,1,3.0,none
S100115,2024,Public Health,8,94.17,83.49,75.67,100.0,88.28,63,10.47,unstable,6.07,55.2,rarely,3.0,90.63,1,3.0,none
S100116,2023,Psychology,1,86.34,71.48,82.19,100.0,100.0,48,4.39,stable,12.52,63.64,often,2.75,86.36,1,5.0,none
S100117,2023,Education,4,88.7,88.49,71.96,93.96,,64,17.64,limited,10.95,19.33,rarely,2.96,85.05,1,1.0,none
S100118,2022,Education,4,86.39,86.56,66.45,100.0,100.0,56,11.94,stable,18.4,66.54,often,3.19,90.93,1,1.0,system_issue
S100119,2023,Psychology,7,81.47,70.58,66.32,100.0,100.0,54,5.38,stable,23.69,0.0,rarely,2.82,85.06,1,4.0,system_issue
S100120,2023,Psychology,4,79.01,69.44,90.35,99.65,98.92,44,6.2,stable,15.32,28.38,rarely,2.91,86.59,1,3.0,none
S100121,2023,Education,8,89.64,96.05,81.31,100.0,98.71,41,10.49,stable,19.68,27.49,rarely,2.92,94.13,1,0.0,none
S100122,2021,Psychology,6,91.65,85.92,81.71,100.0,100.0,68,14.96,stable,15.37,55.74,sometimes,2.86,94.27,1,1.0,none
S100123,2022,Education,6,79.19,59.23,72.81,89.37,93.83,64,5.06,stable,21.97,58.37,sometimes,2.8,77.76,1,2.0,none
S100124,2021,Psychology,7,100.0,100.0,80.94,100.0,100.0,47,15.17,stable,22.96,52.18,often,3.34,96.94,1,1.0,system_issue
S100125,2022,Psychology,2,76.3,68.99,84.75,100.0,96.96,54,10.25,stable,16.66,10.69,rarely,2.2,79.39,1,1.0,none
S100126,2022,Psychology,4,71.71,85.02,77.69,97.02,100.0,43,6.62,stable,14.94,50.53,sometimes,3.71,89.78,1,2.0,none
S100127,2021,Psychology,5,64.81,73.68,71.09,94.72,100.0,59,9.21,stable,8.56,44.16,often,3.06,86.52,1,0.0,none
S100128,2021,Education,2,64.56,92.49,82.01,100.0,,61,19.09,unstable,9.71,4.92,sometimes,3.27,88.64,1,1.0,none
S100129,2023,Education,1,77.82,77.57,63.61,84.9,91.19,84,5.14,unstable,7.64,0.0,never,3.33,82.27,1,1.0,system_issue
S100130,2021,Education,2,77.03,79.94,62.18,100.0,94.52,46,7.56,stable,14.35,53.68,rarely,2.68,80.87,1,2.0,system_issue
S100131,2024,Computer Science,7,86.53,77.73,72.89,100.0,98.11,75,15.89,stable,4.96,31.76,rarely,2.59,84.09,1,7.0,none
S100132,2023,Public Health,6,79.93,74.84,77.34,100.0,96.86,72,12.28,stable,8.66,11.87,often,2.54,81.12,1,2.0,none
S100133,2022,Public Health,3,89.96,82.93,65.23,100.0,96.53,57,8.44,stable,0.0,31.25,sometimes,2.89,87.16,1,1.0,system_issue
S100134,2023,Economics,6,80.61,85.43,77.52,100.0,100.0,57,14.58,limited,22.06,41.55,sometimes,3.31,89.28,1,2.0,none
S100135,2021,Economics,6,80.66,74.18,72.57,94.39,90.77,58,15.88,stable,8.46,33.51,often,2.74,85.26,1,1.0,none
S100136,2024,Psychology,7,79.07,82.2,65.11,100.0,100.0,54,12.44,stable,13.19,7.06,sometimes,3.27,87.08,1,1.0,none
S100137,2022,Computer Science,8,88.46,88.45,62.26,99.27,88.81,63,7.63,stable,20.2,68.94,sometimes,1.93,80.52,1,2.0,none
S100138,2023,Computer Science,8,64.93,63.53,70.37,89.77,92.51,40,8.97,stable,12.1,53.08,never,2.83,75.23,1,1.0,none
S100139,2021,Computer Science,2,84.96,87.68,69.14,100.0,100.0,52,11.67,limited,20.11,28.96,sometimes,3.53,92.77,1,3.0,self_report_missing
S100140,2022,Public Health,7,79.98,73.51,80.26,100.0,92.77,45,5.99,stable,1.31,29.69,rarely,2.92,89.51,1,2.0,self_report_missing
S100141,2022,Economics,4,87.35,96.51,78.41,100.0,82.95,39,15.83,stable,26.78,41.47,rarely,2.63,84.33,1,2.0,none
S100142,2024,Computer Science,4,80.91,81.49,77.45,100.0,95.93,69,18.24,stable,17.61,14.67,sometimes,2.7,86.89,1,1.0,system_issue
S100143,2023,Computer Science,6,70.21,65.79,59.23,94.5,,63,10.02,unstable,11.46,40.81,often,1.64,60.92,1,3.0,none
S100144,2022,Psychology,5,77.64,80.82,62.01,93.49,68.51,47,12.0,stable,19.98,11.05,often,2.54,78.08,1,3.0,none
S100145,2022,Public Health,4,95.38,97.35,80.47,100.0,100.0,71,17.19,limited,1.82,33.73,often,3.48,97.12,1,0.0,none
S100146,2022,Education,8,77.87,86.28,77.88,98.04,100.0,44,20.16,limited,7.98,13.97,never,2.74,82.83,1,0.0,none
S100147,2023,Public Health,2,100.0,90.73,76.46,100.0,100.0,61,17.4,stable,20.11,14.87,very_often,2.79,88.85,1,3.0,self_report_missing
S100148,2022,Computer Science,1,73.73,62.8,61.14,100.0,84.63,45,4.19,limited,0.0,64.62,never,1.95,73.91,1,1.0,none
S100149,2021,Education,1,77.81,71.06,59.91,97.37,93.69,52,9.47,stable,13.92,36.07,often,2.27,71.85,1,2.0,self_report_missing
S100150,2024,Computer Science,7,83.65,91.96,83.12,100.0,100.0,56,13.16,stable,13.73,38.73,often,3.54,95.76,1,4.0,none
S100151,2024,Education,4,90.81,86.53,81.08,100.0,100.0,50,7.87,stable,23.78,0.0,sometimes,3.28,92.08,1,1.0,none
S100152,2021,Computer Science,4,73.1,90.13,59.88,92.47,90.69,56,20.02,stable,0.0,24.25,sometimes,2.42,78.71,1,0.0,none
S100153,2023,Computer Science,6,81.45,87.31,75.45,100.0,100.0,58,17.63,stable,21.27,43.3,often,2.72,86.01,1,3.0,none
S100154,2021,Economics,4,81.9,81.41,61.73,100.0,100.0,65,7.84,stable,6.08,38.49,often,2.99,82.84,1,4.0,none
S100155,2023,Public Health,5,83.52,82.9,57.08,100.0,100.0,47,10.72,stable,6.87,0.0,rarely,2.46,81.39,1,4.0,none
S100156,2022,Education,1,79.98,70.62,60.88,88.61,88.68,75,8.51,stable,1.45,38.73,often,2.1,75.33,1,1.0,none
S100157,2023,Psychology,2,85.36,88.07,94.08,94.08,98.69,46,10.93,stable,2.39,41.6,never,2.93,90.96,1,1.0,none
S100158,2023,Psychology,8,83.57,77.64,81.54,100.0,100.0,55,9.96,stable,12.82,58.11,sometimes,3.26,91.35,1,0.0,self_report_missing
S100159,2023,Education,4,99.82,83.29,93.88,100.0,100.0,66,16.12,stable,2.21,23.21,sometimes,3.27,95.8,1,0.0,none
S100160,2021,Economics,2,86.59,92.42,80.78,100.0,100.0,47,6.79,unstable,15.18,0.0,often,3.39,96.26,1,2.0,none
S100161,2024,Psychology,3,100.0,68.21,69.85,97.71,99.48,60,0.0,unstable,5.36,17.06,sometimes,2.3,84.75,1,1.0,self_report_missing
S100162,2022,Psychology,3,83.52,78.03,77.86,99.85,96.22,54,4.66,stable,1.51,15.25,rarely,3.03,85.86,1,1.0,none
S100163,2021,Economics,3,90.35,69.94,69.1,96.28,100.0,48,6.87,stable,6.31,48.26,sometimes,2.88,81.88,1,3.0,none
S100164,2023,Public Health,3,76.0,70.01,73.81,100.0,91.15,65,8.06,stable,12.36,0.0,rarely,2.96,85.09,1,1.0,none
S100165,2022,Psychology,6,92.31,82.03,85.27,100.0,100.0,44,12.2,limited,8.06,26.93,sometimes,2.9,89.09,1,1.0,none
S100166,2024,Public Health,1,72.15,75.23,71.32,100.0,91.15,42,6.32,stable,10.24,60.66,sometimes,2.7,82.45,1,2.0,none
S100167,2024,Economics,3,74.95,60.72,67.0,97.15,92.8,54,5.36,limited,14.87,35.13,often,1.64,72.06,1,1.0,none
S100168,2022,Psychology,4,81.86,78.74,77.23,100.0,100.0,58,6.41,stable,17.58,51.13,rarely,3.52,89.18,1,2.0,none
S100169,2024,Economics,5,88.68,76.34,86.81,100.0,100.0,53,6.35,stable,7.83,5.45,rarely,3.15,92.42,1,1.0,none
S100170,2022,Psychology,8,73.39,81.42,63.86,100.0,91.27,49,9.29,limited,2.69,6.16,sometimes,2.33,83.46,1,0.0,none
S100171,2023,Psychology,8,74.35,83.65,87.07,100.0,100.0,47,8.47,stable,10.53,60.87,never,3.21,92.4,1,2.0,self_report_missing
S100172,2022,Economics,3,74.54,79.6,75.79,97.3,,68,14.04,limited,13.29,36.82,rarely,2.8,85.41,1,1.0,none
S100173,2024,Education,5,96.25,83.25,72.45,100.0,100.0,54,7.55,stable,0.0,36.86,sometimes,2.81,94.6,1,3.0,none
S100174,2021,Psychology,1,85.48,79.79,63.67,100.0,95.0,43,10.09,stable,3.77,14.87,sometimes,2.65,78.55,1,0.0,none
S100175,2021,Economics,5,70.53,76.32,66.01,96.43,99.93,40,9.15,stable,4.97,36.81,rarely,3.24,80.51,1,2.0,none
S100176,2022,Psychology,2,91.7,86.75,69.39,100.0,99.54,74,14.96,stable,8.55,14.37,sometimes,2.64,86.79,1,1.0,none
S100177,2024,Computer Science,1,69.27,79.13,65.68,100.0,100.0,44,10.93,stable,4.67,56.36,often,2.51,85.49,1,1.0,none
S100178,2024,Psychology,6,90.49,90.14,74.07,93.68,100.0,61,15.53,stable,14.95,84.1,sometimes,3.51,95.56,1,0.0,none
S100179,2023,Public Health,2,86.73,79.55,81.83,100.0,100.0,65,6.81,stable,0.0,43.71,sometimes,2.92,84.29,1,3.0,none
S100180,2024,Computer Science,4,88.28,98.73,76.62,100.0,100.0,60,11.78,stable,0.0,23.57,never,2.93,91.76,1,2.0,none
S100181,2024,Public Health,1,100.0,89.07,81.38,100.0,100.0,45,8.8,stable,7.66,0.0,rarely,3.31,91.83,1,1.0,none
S100182,2023,Computer Science,6,73.22,73.67,58.29,86.75,87.84,36,5.78,stable,8.77,4.68,sometimes,2.7,74.93,1,0.0,none
S100183,2022,Education,7,85.72,82.48,68.5,86.53,100.0,75,11.7,stable,0.0,62.99,often,2.79,86.86,1,1.0,self_report_missing
S100184,2023,Economics,5,96.23,98.79,68.1,100.0,90.56,51,19.34,stable,5.75,16.47,never,3.14,94.85,1,2.0,none
S100185,2023,Education,7,68.22,58.84,74.04,95.06,82.05,43,7.59,limited,7.19,28.32,rarely,2.31,72.95,1,2.0,none
S100186,2022,Computer Science,4,74.69,89.25,62.7,100.0,100.0,56,10.85,stable,7.25,46.8,sometimes,3.1,85.59,1,3.0,none
S100187,2021,Economics,2,76.02,79.18,57.3,100.0,86.69,45,5.21,stable,11.06,61.68,sometimes,2.66,78.5,1,0.0,none
S100188,2023,Psychology,2,84.25,76.11,84.75,100.0,100.0,54,5.0,limited,5.37,31.41,very_often,3.38,93.14,1,1.0,none
S100189,2022,Public Health,2,69.72,76.99,73.01,80.34,92.98,32,6.83,stable,20.34,27.72,rarely,3.25,87.42,1,1.0,none
S100190,2024,Education,2,88.62,80.55,77.37,100.0,100.0,50,8.9,stable,13.42,36.29,never,3.19,86.98,1,1.0,self_report_missing
S100191,2022,Economics,3,64.09,70.17,64.74,93.82,91.73,58,9.83,stable,4.35,23.7,sometimes,2.28,78.72,1,3.0,none
S100192,2021,Computer Science,2,95.13,84.37,83.91,100.0,100.0,61,10.13,stable,10.66,24.67,rarely,2.95,93.29,1,2.0,none
S100193,2024,Education,5,83.69,72.45,67.43,93.49,95.75,40,3.71,stable,10.87,42.41,rarely,2.47,82.72,1,1.0,none
